i,j,label_i,label_j,tanimoto,same_murcko_scaffold,scaffold,smiles_i,smiles_j
68,87,0,1,0.4805194805194805,False,,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
34,63,1,0,0.43137254901960786,False,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CC(C)NCC(O)c1ccc(O)c(O)c1
37,42,1,0,0.36363636363636365,False,,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CN(C)CCOC(c1ccccc1)c1ccccc1
28,65,1,0,0.36363636363636365,True,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
31,64,1,0,0.3611111111111111,False,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CCC1(c2ccccc2)C(=O)NCNC1=O
53,87,0,1,0.33695652173913043,False,,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)N2C=O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
34,126,1,0,0.3220338983050847,False,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
29,45,1,0,0.3142857142857143,False,,S=c1nc[nH]c2nc[nH]c12,Cn1c(=O)c2[nH]cnc2n(C)c1=O
37,43,1,0,0.3137254901960784,False,,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Cc1ccccc1C(OCCN(C)C)c1ccccc1
78,107,0,1,0.3125,False,,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,NC(=O)OCC(COC(N)=O)c1ccccc1
